year,buffett_return_pct,buffett_cumulative,buffett_source,sp500_price_return_pct,sp500_price_cumulative,sp500_close,dow_price_return_pct,dow_price_cumulative,dow_close,sp500_total_return_from_berkshire_pct,sp500_total_cumulative_from_1965
1957,10.4,1.104,Buffett Partnership gain,-14.3133,0.85686744,39.990002,-12.7695,0.87230464,435.69,,
1958,40.9,1.555536,Buffett Partnership gain,38.0595,1.18298696,55.209999,33.9599,1.16853865,583.65,,
1959,25.9,1.95841982,Buffett Partnership gain,8.4767,1.28326552,59.889999,16.3985,1.36016177,679.36,,
1960,22.8,2.40493954,Buffett Partnership gain,-2.9721,1.24512541,58.110001,-9.3426,1.23308707,615.89,,
1961,45.9,3.50880679,Buffett Partnership gain,23.1286,1.5331049,71.550003,18.7128,1.46383166,731.14,,
1962,13.9,3.99653094,Buffett Partnership gain,-11.8099,1.3520463,63.099998,-10.8105,1.30558392,652.1,,
1963,38.7,5.54318841,Buffett Partnership gain,18.8906,1.6074566,75.019997,16.9989,1.52751917,762.95,,
1964,27.8,7.08419479,Buffett Partnership gain,12.9699,1.81594179,84.75,14.5724,1.75011512,874.13,,
1965,49.5,10.59087121,Berkshire per-share market value,9.0619,1.98050148,92.43,10.8828,1.94057701,969.26,10.0,1.1
1966,-3.4,10.23078159,Berkshire per-share market value,-13.091,1.7212343,80.330002,-18.9392,1.57304743,785.69,-11.7,0.9713
1967,13.3,11.59147554,Berkshire per-share market value,20.0921,2.06706675,96.470001,15.1994,1.81214087,905.11,30.9,1.2714317
1968,77.8,20.60964352,Berkshire per-share market value,7.6604,2.22541257,103.860001,4.2691,1.88950287,943.75,11.0,1.41128919
1969,19.4,24.60791436,Berkshire per-share market value,-11.3615,1.97257341,92.059998,-15.1936,1.60241856,800.36,-8.4,1.2927409
1970,-4.6,23.4759503,Berkshire per-share market value,0.0978,1.97450193,92.150002,4.8178,1.6796204,838.92,3.9,1.34315779
1971,80.5,42.37409029,Berkshire per-share market value,10.7868,2.18748662,102.089996,6.1126,1.78228923,890.2,14.6,1.53925883
1972,8.1,45.8063916,Berkshire per-share market value,15.6333,2.52946235,118.050003,14.5832,2.04220474,1020.02,18.9,1.83017875
1973,-2.5,44.66123181,Berkshire per-share market value,-17.3655,2.09020799,97.550003,-16.584,1.70352574,850.86,-14.8,1.55931229
1974,-48.7,22.91121192,Berkshire per-share market value,-29.7181,1.46903793,68.559998,-27.5745,1.23378782,616.24,-26.4,1.14765385
1975,2.5,23.48399222,Berkshire per-share market value,31.549,1.93250495,90.190002,38.3244,1.70662903,852.41,37.2,1.57458108
1976,129.3,53.84879415,Berkshire per-share market value,19.1485,2.30254989,107.459999,17.86,2.01143212,1004.65,23.6,1.94618221
1977,46.8,79.05002981,Berkshire per-share market value,-11.502,2.03771164,95.099998,-17.2677,1.66410395,831.17,-7.4,1.80216473
1978,14.5,90.51228414,Berkshire per-share market value,1.062,2.059353,96.110001,-3.1474,1.61172843,805.01,6.4,1.91750327
1979,102.5,183.28737538,Berkshire per-share market value,12.3088,2.31283494,107.940002,4.1863,1.67919995,838.71,18.2,2.26648887
1980,32.8,243.4056345,Berkshire per-share market value,25.7736,2.90893507,135.759995,14.9372,1.93002583,963.99,32.3,2.99856477
1981,31.8,320.80862627,Berkshire per-share market value,-9.7304,2.62588403,122.550003,-9.2314,1.75185697,875.0,-5.0,2.84863653
1982,38.4,443.99913876,Berkshire per-share market value,14.7613,3.01349914,140.639999,19.6046,2.09530102,1046.54,21.4,3.45824475
1983,69.0,750.3585445,Berkshire per-share market value,17.271,3.53396184,164.929993,20.2668,2.51995115,1258.64,22.4,4.23289157
